task_code,patternid_1,group_1,patternid_2,group_2,patternid_3,group_3,patternid_4,group_4,patternid_5,group_5,patternid_6,group_6,patternid_7,group_7,patternid_8,group_8,patternid_9,group_9,patternid_10,group_10
sentiment,23,are nice; are comfortable; are satisfied; be fine; are stylish,12,n't regret; not pinch; very disappointed; Very awkward; totally bashed,33,The are cheaply; The was horrible; the are hard; the was uncomfortable; the is itchy,99,The are still; The is not; the is really; The are modestly,86,n't right The; not warm The; not pleased The; not love the; not worth the,76,fit fine; fit comfortable; fits like; fits comfortably; fit perfect,56,would n't; WOULD NOT; would not; would NOT,41,durable,64,too small,45,Great good; great great; Great work; great work; great support
sentiment,26,enough; fast; well,82,still cheap; just cheap; so cheap; Very cheap; even cheap,44,small,11,like; Love; Great; pleased,42,is n't; are not; 's not,40,too small; not small; way small; so small; VERY small,70,comfortable and,49,was scratchy and; be fuzzy and; is bent and; is cheap and,80,Great and well; shiny and well; great and well; adorable and not; warm and yet,94,not at; Not at
sentiment,34,returned; Returned,36,elegant shine and; support good and; perfect Great and; great comfortable and; fairly well and,61,bent n't; cheap not; tarnished not; skinny n't; broken n't,98,wife; partner; husband,30,suck in; worried how; issues finally; hassle online; miss almost,6,and nicely; AND LOVES; and comfortable; and best; and perfect,5,great; Great,47,are greatest; was great; is great; are great,95,disintegrated The; gripe the; disappointed the; Ripped the; uncomfortable the,17,love !; recommended !; awesome !; worked !; Excellent !
sentiment,4,dark; cheap; problem; weak,15,stimulating and helping; work and great; well and cool; great and durable; strong and beautiful,55,great !; Great !; GREAT !; greatest !,100,sent; send,43,is smaller; are small; 's small,8,was sad; was worst; are poor; be hard; Was uncomfortably,92,is most comfortable; is SO like; are not consistent; be very well; is not cute,67,were way; was way; are way,89,but; But,29,ridiculously; excessively; Sadly; unfortunately; sadly
sentiment,97,good but; nice but; well but; love but; strong but,16,be absolutely horrible; was pretty rigid; is extremely hard; was very disappointed; 're super skinny,75,being just; is too; were so; was about; are not,57,sent back; sending back,10,not worth; not attractive; Not pleased; not recommend; Not attractive,53,really warm enough; n't super like; really nice like; However work effectively; very fast well,84,not even; n't even,74,loves !; love !; Love !,9,not,46,were just sloppy; am very unsure; were NOT sweaty; is almost impossible; are cheaply break
sentiment,51,waste money,14,comfortable,65,way; WAY,66,'m returning; was return; am returning; am return,93,the cheap; the wrong; the thicker; The lost; the bad,81,uncomfortable,35,does not; do n't; do not; does n't,27,BE TOO; am too; was too; be too; 's too,71,years,3,bright and; neat and; good and; stylish and
sentiment,20,Cheap; cheap,91,well really; way off; shortly already; pretty well; However just,77,works like charm; nice luster smooth; fashionable comfortable durable; amazingly comfortable well; love recommend elegant,21,well,39,did not; do not,73,fast The; badly the; so the; n't the; very the,28,been problem; is loose; was cheap; is misleading; is harsh,18,loves; loved; Love; love,38,disappointed uncomfortable; cheesy broke; cruel joke; bust weak; disappointed worn,96,are soft comfy; 's comfortable wonderful; 's tough durable; was happy right; are inexpensive enough
sentiment,13,sent; send,32,best; good; Good,1,return; returns,2,n't; not,90,are comfortable and durable; is pretty and great; was responsive and helpful; are super and loved; is nice and comfortable,68,like nothing; Great Value; great time; Super chunk; Works time,78,saggy and not; cheap and extremely; worn and there; poorly and very; damaged and then,83,immediately returned; underneath returned; very returned; so returned; not returning,62,enough for; well for; good for; worth for,63,Mailed back; send back; sent back; sending back
sentiment,58,and great,72,is cheap,25,Disappointed; disappointed,48,not too; not very; not enough; not so; n't even,22,perfect,50,not the; NOT the; n't the,60,WAY too; way too,59,not fit; n't fit,37,oddly and; badly and; expensive and; damaged and; disappointed and,24,are comfortable and; is bright and; were comfortable and; are incredibly and; are handsome and
sentiment,19,return; returned,52,not recommend,87,recommend Great; love great; cute great; great great,31,at all,7,rich versatile; great comfortable; cheaper easier; perfect comfort; cheaper thinner,85,well and; nicely and; super and,69,be just comfortable; are so comfortable; is really comfortable; are definitely comfortable; 's that comfortable,88,carry; riding; rolls; slip; sent,79,loved; LOVES; love,54,very strong; absolutely wonderful; much nicer; extremely soft; really like
sentiment,1,return; returns; returning,60,way too; Way too,18,loves; love; Love,50,n't the; Not the; not the,26,enough; sincerely; fairly; well,52,not recommend; n't recommend,12,definitely disappointed; just doubt; so cheap; not cheaply; very hard,93,the Cons; the alarm; the worst; the twisted; the lack,62,enough for; Perfect for; nice for; good for; Great for,36,comfort ease and; amazing bargain and; super cute and; pretty well and; awesomely comfortable and
sentiment,86,n't impressed the; n't work the; not properly the; not great the; not worth the,58,and great,23,is good; were positive; am satisfied; was pleasantly; been happy,45,Great fast; Great good; great like; great easy; great Love,10,not comfortable; n't like; not like; n't worth; n't super,75,is not; is how; was straight; were too; are very,99,the is very; the are not; the are really; The was off,81,uncomfortable,87,right great; great great; Nice great; available great; worked great,28,was scratchy; is hard; was disappointed; be worn; is harsh
sentiment,39,did not; do not; Did not,34,returning; returned; Returned; return,2,n't; not,9,not,92,is not easy; is not soft; are very loyal; are quite delicate; is really good,71,year; years,46,was obviously twisted; is so hard; were NOT sweaty; are generally thicker; is too stiff,59,not fit; n't fit; nt fit,37,problems and; dull and; broke and; inaccuracies and; Insanity and,14,comfortable
sentiment,84,not even; n't even,79,love; Love,57,sending back; sent back; send back,24,are durable and; are Soft and; is nice and; was soft and; 're well and,25,disappointed,11,enough; lovely; loved; top; like,32,best; good,82,also cheap; really cheap; Super cheap; very cheap,90,are well and great; be supple and great; are comfortable and adjustable; is supportive and comfortable; was fast and accurate,4,damage; indiscreet; wrong; lack; hang
sentiment,22,perfect,77,impressed well works; fine Well worth; amazingly comfortable well; perfect well Love; bonus great bargain,56,would not; Would not; would n't,55,great !; Great !,15,durable and nice; Nice and comfortable; well and comfortable; better and stylish; perfect and good,74,love !; loved !; Love !,94,not at; Not at,96,is great thank; is perfect enough; are pretty good; is durable good; are nice cushy,73,not the; else the; all the; never the; Nevertheless the,53,very comfortable great; very well nice; long inexpensive enough; Very durable comfortable; very well Easy
sentiment,43,is small; was small; were small,98,wife; husband; hubby,66,was return; is returned; 'm returning; be returning,64,too small,17,love !; incredibly !; good !; comfortable !; Thank !,3,comfort and; work and; support and; shiny and,51,lost money; waste money,69,are amazingly comfortable; be very comfortable; is way comfortable; are even comfortable; are super comfortable,38,UGLY BAD; hang loose; stiff bulky; terribly ugly; disappointed issue,61,loose not; suspect NOT; flimsy n't; uncomfortable not; poorly not
sentiment,16,are too hard; Is seriously crap; are also cheaply; are cheaply fall; were super uncomfortable,27,be too; was too; are too; is too,97,fantastic but; nice but; well but; great but,72,'s cheap; was cheap; is cheap,100,send; sent; sending,8,were sloppy; was nightmare; be overpriced; was uncomfortable; was horrified,21,WELL; well,63,sent back; sending back,89,but,42,was not; am not; is n't
sentiment,54,really good; Absolutely beautiful; n't enough; So recommendation; extremely comfortable,31,at all,20,cheap,35,does not; does n't; did n't; did not; do not,65,way,88,returned; moving; remove,67,was way; is way; are way,29,poorly; drastically; uncomfortably; cheaply,85,well and; pretty and; super and,13,send; sent
sentiment,76,fit perfectly; fits comfortably; fit comfort; fit nice; fit great,68,unbeatable value; nice bag; good length; Love box; gold days,83,n't return; not return; n't returning; very returned; otherwise returning,91,also n't; very not; just as; already more; so much,95,poor the; ignore the; sag the; unnecessary the; worse the,7,beautiful Great; super cute; wonder great; A+ good; like soft,41,durable; Durable,19,return; returned; returning,40,even smaller; just small; definitely small; just smaller,49,'s awkward and; is poor and; be expensive and; was worn and; is stiff and
sentiment,5,great,30,clunky n't; disappointed how; WORST ever; uncomfortable not,33,the be thicker; the are hard; The is sick; the were poor; the is bulky,48,not where; not very; not right; not well; not even,78,horrible and so; horrible and SO; stiff and slightly; UGLY AND ALSO; uncomfortable And then,44,small; SMALL,80,comfortable and enough; variety and now; glowing and when; easy and n't; great and just,47,were great; was great; is great; are great,70,comfortable and,6,and nice; and durable; and great; and flawless; and improved
sentiment,66,'m returning; was return; was returned; be returned,89,but,96,is nice comfortable; are great right; are soft enough; 's nice honest; are good nice,38,hang loose; stuck broken; alarm hate; awkward bumps; unyielding uncomfortable,28,is nonsense; was hesitant; was disappointed; am infuriated; is flimsy,5,great; Great,79,love; Love,50,n't the; not the,53,also affordable comfortable; though super warm; very sturdy supportive; so comfortable loves; more comfortable durable,82,just cheap; NOT cheap; really cheap; kinda cheap; n't cheap
sentiment,41,durable,52,n't recommend; not recommend; NOT recommend,11,worth; comfortable; like; lean; beautiful,15,good and comfortable; Nice and comfortable; comfortable and durable; nicely and good; warm and durable,74,LOVES !; love !; loved !,3,pretty and; Good and; nice and; fun and; cute and,63,sent back,39,did not; do not,78,breaking and well; cheap and not; worries and also; awkward and n't; flimsy and much,49,are dark and; been discontinued and; are hard and; is hard and; is bulky and
sentiment,70,comfortable and,6,and nice; and affordable; and great; and good; and awesome,77,comfortable worked well; good supports well; perfectly nice easy; enough pretty warm; bonus great bargain,29,ridiculously; badly; oddly; incorrectly; cheaply,61,loose not; fuzzy not; Sorry not; Ridiculous Not; dirt not,98,wife; husband,64,too small,31,at all,76,fit top; fit perfectly; fit like; fit better; fit perfect,51,waste money; Wasted money
sentiment,19,return; returned,62,work for; better for; decent for; liked for; great for,36,supportive comfy and; best perfect and; fashionable comfortable and; cushy comfortable and; Warm soft and,43,are small; being small; is small; 's small,71,years; year,2,n't; not,24,are comfortable and; is nice and; 're super and; is awesome and; 's beautiful and,27,was too; are too,55,great !; Great !; GREAT !,45,great support; great like; Great good; great Nice
sentiment,13,Sending; send; sent; sending,59,not fit; n't fit; NOT fit; not fitting,8,be blah; are dragging; were hard; is wrong; been hard,20,cheap,17,EXCELLENT !; Comfy !; thank !; decent !; like !,48,not only; not really; n't most; not well; not cheaply,54,very nice; not right; not like; n't trust; otherwise love,12,so flimsy; ALSO WRONG; Very disappointed; very cheap; very uncomfortable,67,are way; were way; 's way; IS WAY; is way,37,saggy and; superficial and; alarm and; baffled and; shame And
sentiment,88,shipped; sent; chipping; slipped; order,91,n't how; very well; not Therefore; already halfway; promptly so,81,uncomfortable,9,Not; not,35,do n't; did nt; Do n't; does n't,40,too small; really small; slightly small; usually small,14,Comfortable; comfortable,90,'s soft and warm; is cushy and comfortable; is nice and sturdy; were soft and comfortable; is awesome and like,84,not even; n't even,42,is not; was not; am not; 's not; are not
sentiment,68,STYLISH BIT; Great Value; available time; Genuine Watch; fine time,21,well,58,and great,85,incredibly and; well and; pretty and,65,way,97,loved but; proper but; comfortable but; love but; great but,44,smaller; small,23,are correct; are nice; are comfortable; be fine; was properly,95,buckle the; beware the; Monster the; broken the; inferior the,92,be quite cute; are not consistent; is just nice; 's so perfect; is so comfortable
sentiment,33,the is strange; the are nightmare; the is annoying; the were broken; the is darker,100,send; sent,93,The stiff; the mistake; the flimsy; the wrong,16,was very uncomfortable; was highly disappointed; are so painful; is super cheap; was so sad,57,sent back; Sending back,46,is too horrible; were just sloppy; are slightly loose; was very disappointed; was not disappointed,80,nice and well; comfortable and enough; flexible and enough; like and then; soft and n't,7,Warm soft; great comfortable; Well worth; bright shiny; enough support,56,would not; WOULD NOT; would n't,73,just the; there The; nicely The; less the; Finally the
sentiment,4,dissapointed; fall; Sadly; worn; cheaply,60,Way too; way too,99,The was very; The were not; The was when; the was n't; the is very,83,n't return; at returned; So returned; almost returned; not returning,10,n't like; not properly; not warm; not easy; not impressed,94,not at; Not at,69,are very comfortable; were very comfortable; are n't comfortable; are so comfortable; is very comfortable,47,been great; is great; are great,72,was cheap; are cheap; is cheap,1,return; returned; returning
sentiment,87,soft great; great great; warm great; perfectly great; work great,75,is very; was very; be enough; is super; are about,86,not like the; n't like the; NOT like the; Not worth the; not worth the,22,perfect; Perfect,32,better; good,25,disappointed,18,love; Love,26,enough; pretty; well,34,return; Returned; returning,30,Ridiculous very; bad n't; worry there; disappointed when; fat even
sentiment,37,broke and; Cheap and; dents and; shame And; broken and,47,been great; is great; are great,14,comfortable,100,send; sent,84,n't even; nt even,17,GREAT !; Great !; warm !; inexpensive !; beautiful !,58,and great,15,great and comfortable; soft and comfortable; nicely and good; rich and versatile; supportive and good,89,but,44,smaller; small
sentiment,3,well and; comfortable and; master and; cleaner and; support and,18,love; LOVE; Love,40,even smaller; slightly smaller; well Small; way small; quickly smaller,52,n't recommend; not recommend; NOT recommend,30,twisted around; unavailable now; disappointment not; buckle right; fell first,11,fine; good; comfortable; cute,53,very supportive secure; much better support; Otherwise perfectly good; so sharp elegant; very pretty great,32,good,68,good time; decent days; work days; right length; nice morning,49,was cheap and; is rigid and; is ridiculous and; are cheap and; am disappointed and
sentiment,77,tough durable stylish; perfectly good Comfortable; fashionable comfortable durable; tops work good; soft soft enough,57,send back; sending back; Sending back,95,unacceptable The; worried the; cheap the; doubt the; unhappy the,75,is n't; 'm kind; 's not; are very; are too,10,not work; n't right; not enough; not well; not worth,60,way too; Way too,35,does not; do n't; doing not; do not,12,frequently bumps; n't issues; ever lost; not cheaply; really inferior,2,n't; not,6,and fine; and pretty; and like; and perfectly
sentiment,82,super cheap; Super cheap; so cheap; very cheap; how cheap,43,are small; was small; were small,13,send; sent; sending,91,before still; extra long; at least; online when; way too,33,the was nauseating; the were crooked; The is irritating; the is cheap; the is dirt,34,return; returned; returning,16,is very chunky; are very uncomfortable; was also cheap; am so disappointed; is relatively loose,76,fit like; fit good; fits fine; fit well; fit great,24,are flexible and; was handy and; 's soft and; being supported and; is great and,83,n't return; how return; not returning; n't returns; ultimately returned
sentiment,31,at all,92,are so comfortable; is quite accurate; are not worth; m back thank; are not flexible,25,disappointed,62,cool for; Defeats for; Keen for; work for; heartily for,55,great !; Great !,9,not,5,great,46,are very bad; is very hard; was just uncomfortable; was so loose; was Severely disappointed,1,returned; Returning; returning; return,36,good supportive and; work fine and; Pros better and; super cute and; comfy roomy and
sentiment,80,work and hard; nice and n't; sharp and up; delicate and easily; impressed and now,29,unnaturally; Unfortunately; unusually; cheaply; hard,26,fairly; pretty; right; correctly; comfortably,45,great better; great well; Great great; great support; great Better,69,is quite comfortable; are very comfortable; were very comfortable,22,perfect,19,return; returning,28,are hard; were terrible; is stiff; is annoying; are loose,65,way,21,well
sentiment,72,is cheap,63,sent back; send back,98,husband,86,not available the; n't like the; not worth the; not comfortable the,23,are comfortable; 's sexy; is useful; be like; is well,79,loves; Love; love,48,n't even; Not tight; n't too,51,waste money,7,Comfortable support; good good; good well; nicely great; super comfy,39,does not; did not; do not
sentiment,97,good but; Cute but; nice but; love but; perfect but,67,are way; be way; was way; was WAY; is way,59,not fit; n't fit; not Fit,88,pulling; throw; ripped; send; ordered,99,the is not; the is already; the is so; The was when; the was n't,90,is well and comfortable; are great and great; is pretty and great; is easy and comfortable; are outstanding and amazingly,38,dissapointed lack; stiff bulky; buckle cheap; terribly ugly; Crap crap,54,really interesting; Really nice; very soft; n't right; n't recommend,71,year; years,87,likes Great; Works great; bonus great; work great; like great
sentiment,73,not the; just the; when the; so the; anywhere the,78,horrible and so; skinny and n't; horrible and SO; cheap and ridiculously; cold and absolutely,74,love !; LOVE !,85,super and; well and; better and; perfectly and,27,were too; was too; are too; 're too,66,be returning; been returned; be return; am returning; were returned,8,BE DISSAPOINTED; was problem; is stiff; is odd; was uncomfortable,42,were not; is not; are not; is n't,56,would n't; Would nt; Would not; would not,94,NOT at; not at
sentiment,81,uncomfortable,41,durable,50,not the; n't the; nt the,4,sorry; worn; hideous,64,too small,93,The terrible; the ripped; The ugly; The thicker; the ugly,61,silly not; saggy not; junk n't; uncomfortable not; defect not,70,comfortable and,96,is super soft; is Keen best; are comfortable warm; are flexible soft; are super comfortable,20,Cheap; cheap
sentiment,39,does not; did not; do not,53,very nice great; really super comfortable; very durable comfortable; just love great; just perfect recommend,11,better; pretty; loves; correct; love,52,Not Recommended; not recommend; n't recommend,10,Not great; not correctly; not easy; not hardy; not bright,26,enough; nicely; properly; perfectly; pretty,74,love !; loved !; Love !,20,cheap,43,is small; were small; are small; is smallest; 's small,84,not even; n't even
sentiment,27,are too; is too,93,the tanks; the fault; the undone; the jagged; the damage,82,also cheap; not cheap; Very cheap; very cheap; how cheap,68,correct time; love watch; tough day; work play; nicer tad,75,was Not; is not; was most; are so,60,way too,58,and great,66,am returning; was return; was returned; be returning,3,love and; durable and; great and; nice and; comfortable and,81,uncomfortable
sentiment,65,way,14,Comfortable; comfortable,55,great !; Great !,71,years; year,47,was great; is great; are great,32,best; better; good,37,stiff and; Terrible and; prison and; Dark and; intense and,91,as long; back so; nicely well; apart easy; n't always,5,great; Great,35,did n't; do n't; Did n't; Do Not
sentiment,97,nice but; good But; like but; pretty but; great but,100,send; sent,61,mess not; dark not; BAD NOT; cheap n't; finicky Not,44,small; smaller,23,is nice; are warm; m happy; is easy; are soft,18,loved; love,31,at all,98,husband; hubby,1,return; returned; returning,92,was still impressed; is so soft; 're still good; 's much happier; is extremely comfortable
sentiment,78,expensive and well; stiff and rather; cold and just; scratchy and easily; problems and currently,57,sent back; send back,48,not only; not quite; n't really; not as; n't too,86,not available the; not correct The; not like the; n't impressed the; not worth the,41,durable,50,not the; Not the; n't the,54,so comfortable; actually loves; very happy; simply best; so glad,40,too small; fairly small; so small; way smaller; about small,89,but,83,n't return; very Returned; back return; Therefore returned; too Returned
sentiment,79,love,62,work for; warm for; good for; strong for,21,well,13,Sending; sent; send,34,return; returned; Returned; returning,85,well and; nicely and; perfectly and,15,well and comfortable; support and comfortable; easy and LOVE; comfortable and pretty; durable and comfy,73,not the; when the; where the; properly the; totally the,72,'s cheap; was cheap; are cheap; is cheap,51,waste money; Lost money
sentiment,25,disappointed,16,are n't skinny; is really disappointing; is very poorly; are not cramped; is really inferior,80,streamlined and not; well and n't; right and then; good and very; comfortable and much,42,is n't; Was not; are not,94,not at; Not at,49,is strange And; was fault and; were bent and; be imperfections and; are loose and,36,nice comfortable and; comfortable affordable and; stylish comfortable and; perfect enough and; clear solid and,59,not fit; n't fit,64,too small,33,the was shocked; the are weak; the is annoying; the is stiff; The is misleading
sentiment,30,defect Now; weird long; waste much; disappointed Never; wedge high,87,cute great; comfortable great; Works great; love great; available great,95,unacceptable The; wrong the; friction The; alarm The; dragging the,46,are pretty cheap; is just stiff; are just saggy; were super uncomfortable; is very disappointing,12,n't wound; very odd; just broke; However lack; so distracting,67,were way; was way; is way,77,Comfy sturdy warm; nice smooth tops; colorful enough interesting; well wonderfully comfortable; cute love love,70,comfortable and,96,is super cute; 's beautiful bright; were sufficient positive; being comfortable pretty; are nice soft,6,and good; and fast; and cute; and great
sentiment,38,awful smell; cheap stuck; sag doubt; picky weird; Sucks broke,76,fit like; fit well; fit perfectly; fit great,28,was afraid; was cheap; was broke; is awkward; is harsh,63,sending back; sent back; send back,22,perfect,9,Not; not,88,move; sending; compress; send; order,2,Not; n't; not; NOT,4,muddy; suspect; broke; worn; bad,99,The are cheaply; the be very; The is really; the were just; The are too
sentiment,45,Great comfy; great like; Great great; great nice; great enough,90,'s comfortable and great; was cheaper and easier; are soft and comfortable; are stylish and comfortable; are soft and comfy,17,Love !; enough !; love !; great !; Good !,29,Unfortunately; Sadly; slowly; cheaply; hard,8,was wrong; is cheap; is stiff; 's weird; is tank,56,would n't; would not,24,are comfortable and; are gorgeous and; is warm and; be supple and; are soft and,19,return; returned,69,were very comfortable; be so comfortable; are most comfortable; is then comfortable; was very comfortable,7,like perfect; work great; best perfect; good support; Easy clean
